id,urn,title,genre,albumCover,url
945469453,soundcloud:tracks:945469453,willow,Alternative,https://i1.sndcdn.com/artworks-CsgybEI6kGo8-0-large.jpg,https://soundcloud.com/taylorswiftofficial/willow
931002616,soundcloud:tracks:931002616,Prisoner (feat. Dua Lipa),Pop,https://i1.sndcdn.com/artworks-kIeeqbfZkEEn-0-large.jpg,https://soundcloud.com/mileycyrus/prisoner-feat-dua-lipa
748533043,soundcloud:tracks:748533043,Physical,Pop,https://i1.sndcdn.com/artworks-jNVFx66m5nPP-0-large.jpg,https://soundcloud.com/dualipa/physical
1191922870,soundcloud:tracks:1191922870,Is There Someone Else?,R & B,https://i1.sndcdn.com/artworks-U1nthDjiUhpC-0-large.jpg,https://soundcloud.com/theweeknd/the-weeknd-is-there-someone
1023919816,soundcloud:tracks:1023919816,Kiss Me More (feat. SZA),Pop,https://i1.sndcdn.com/artworks-8AJCc8G37rz0-0-large.jpg,https://soundcloud.com/amalaofficial/kiss-me-more-feat-sza
1071204931,soundcloud:tracks:1071204931,Bad Habits,Pop,https://i1.sndcdn.com/artworks-k1vZIaceDJJs-0-large.jpg,https://soundcloud.com/edsheeran/ed-sheeran-bad-habits
919105429,soundcloud:tracks:919105429,pov,Pop,https://i1.sndcdn.com/artworks-cC9MGwkaxZBT-0-large.jpg,https://soundcloud.com/arianagrande/ariana-grande-pov
1064472514,soundcloud:tracks:1064472514,Need to Know,Pop,https://i1.sndcdn.com/artworks-0fsBd2TywY5U-0-large.jpg,https://soundcloud.com/amalaofficial/need-to-know
1091068756,soundcloud:tracks:1091068756,INDUSTRY BABY (feat. Jack Harlow),Hip Hop,https://i1.sndcdn.com/artworks-VG8ifluNoNdo-0-large.jpg,https://soundcloud.com/secret-service-862007284/industry-baby
1124622010,soundcloud:tracks:1124622010,THATS WHAT I WANT,Pop,https://i1.sndcdn.com/artworks-QAfw1GJMDVAV-0-large.jpg,https://soundcloud.com/secret-service-862007284/thats-what-i-want
1075190731,soundcloud:tracks:1075190731,You Right,Pop,https://i1.sndcdn.com/artworks-FUF9uvayiuS9-0-large.jpg,https://soundcloud.com/amalaofficial/you-right
1076824468,soundcloud:tracks:1076824468,BTS - Butter,null,null,https://soundcloud.com/yeo-collin-chu-yuan/bts-butter
1118019550,soundcloud:tracks:1118019550,Fair Trade (feat. Travis Scott),Hip Hop,https://i1.sndcdn.com/artworks-ZB4xh129c10t-0-large.jpg,https://soundcloud.com/octobersveryown/drake-fair-trade-feat-travis
859349491,soundcloud:tracks:859349491,POPSTAR (feat. Drake),Hip Hop,https://i1.sndcdn.com/artworks-CriHSSIfB3cf-0-large.jpg,https://soundcloud.com/djkhaled/popstar-feat-drake
1270786810,soundcloud:tracks:1270786810,Late Night Talking,Pop,https://i1.sndcdn.com/artworks-AlkyZMkHNbQP-0-large.jpg,https://soundcloud.com/harrystyles/late-night-talking
1470385906,soundcloud:tracks:1470385906,Ella Baila Sola,Latin / Regional Mexican,https://i1.sndcdn.com/artworks-sV93TnSpK8Kg-0-large.jpg,https://soundcloud.com/eslabonarmado/eslabon-armado-peso-pluma-ella
1221933496,soundcloud:tracks:1221933496,Bam Bam (feat. Ed Sheeran),Pop,https://i1.sndcdn.com/artworks-wCcQXT9vY9Eh-0-large.jpg,https://soundcloud.com/camilacabello/bam-bam-feat-ed-sheeran
1810618125,soundcloud:tracks:1810618125,These Walls,Pop,https://i1.sndcdn.com/artworks-hIu8rCeMAOW8-0-large.jpg,https://soundcloud.com/dualipa/these-walls
1422571837,soundcloud:tracks:1422571837,Shakira: Bzrp Music Sessions, Vol. 53,Latin Pop,https://i1.sndcdn.com/artworks-cFdZcC0gWUcY-0-large.jpg,https://soundcloud.com/bizarrap/bizarrap-shakira-shakira-bzrp
1528516891,soundcloud:tracks:1528516891,Popular (From The Idol Vol. 1 (Music from the HBO Original Series)) [feat. Playboi Carti],Soundtrack,https://i1.sndcdn.com/artworks-jS1yo3I5oadu-0-large.jpg,https://soundcloud.com/theweeknd/the-weeknd-playboi-carti-1
1293023500,soundcloud:tracks:1293023500,Left and Right (Feat. Jung Kook of BTS),Pop,https://i1.sndcdn.com/artworks-j7BEceEzEYSf-0-large.jpg,https://soundcloud.com/charlieputh/left-and-right-feat-jung-kook
1589588819,soundcloud:tracks:1589588819,bad idea right?,Pop,https://i1.sndcdn.com/artworks-tfgzp5q6WyYS-0-large.jpg,https://soundcloud.com/oliviarodrigo/bad-idea-right
1822834458,soundcloud:tracks:1822834458,BIRDS OF A FEATHER,Alternative,https://i1.sndcdn.com/artworks-3FNJGgLRZS9s-0-large.jpg,https://soundcloud.com/billieeilish/birds-of-a-feather
1367286613,soundcloud:tracks:1367286613,Karma,Pop,https://i1.sndcdn.com/artworks-fMhF2fiBZ8QA-0-large.jpg,https://soundcloud.com/taylorswiftofficial/karma
1367286865,soundcloud:tracks:1367286865,Lavender Haze,Pop,https://i1.sndcdn.com/artworks-jRGEyoSTytJW-0-large.jpg,https://soundcloud.com/taylorswiftofficial/lavender-haze
1010966062,soundcloud:tracks:1010966062,Ghost,Pop,https://i1.sndcdn.com/artworks-mlZo9UsMBWyo-0-large.jpg,https://soundcloud.com/justinbieber/ghost
1331242909,soundcloud:tracks:1331242909,Calm Down,Pop,https://i1.sndcdn.com/artworks-pIPrJaNtVzzV-0-large.jpg,https://soundcloud.com/heisrema/calm-down-1
1576853254,soundcloud:tracks:1576853254,Paint The Town Red,Rap,https://i1.sndcdn.com/artworks-cE4WZqvTlrRn-0-large.jpg,https://soundcloud.com/amalaofficial/paint-the-town-red
1487044951,soundcloud:tracks:1487044951,Daylight,Pop,https://i1.sndcdn.com/artworks-OXYO5YOgC9XC-0-large.jpg,https://soundcloud.com/davidkushner-music/daylight
1510882189,soundcloud:tracks:1510882189,From The Start,Jazz,https://i1.sndcdn.com/artworks-td3WayN3vF42-0-large.jpg,https://soundcloud.com/laufeylin/from-the-start
1247116972,soundcloud:tracks:1247116972,About Damn Time,Pop,https://i1.sndcdn.com/artworks-mgbUHSnpmGP6-0-large.jpg,https://soundcloud.com/lizzomusic/about-damn-time
1089020740,soundcloud:tracks:1089020740,abcdefu,Pop,https://i1.sndcdn.com/artworks-FyqtrARPIjyf-0-large.jpg,https://soundcloud.com/gayle/abcdefu
1191923227,soundcloud:tracks:1191923227,Out of Time,R & B,https://i1.sndcdn.com/artworks-FHYSjJqQA0c0-0-large.jpg,https://soundcloud.com/theweeknd/the-weeknd-out-of-time
