278508961,soundcloud:tracks:278508961,Black or White,Pop,https://i1.sndcdn.com/artworks-N3qRPEqxTWBL-0-large.jpg,https://soundcloud.com/mjimmortal/black-or-white-1
278509273,soundcloud:tracks:278509273,You Are Not Alone,Pop,https://i1.sndcdn.com/artworks-Z14eQWErfcJo-0-large.jpg,https://soundcloud.com/mjimmortal/you-are-not-alone
388551387,soundcloud:tracks:388551387,The Bad Touch,Rock,https://i1.sndcdn.com/artworks-mRSdw6eoMmeu-0-large.jpg,https://soundcloud.com/bloodhound-gang/the-bad-touch-album-version
578519304,soundcloud:tracks:578519304,Blaze Of Glory (From "Young Guns II" Soundtrack),Soundtrack,https://i1.sndcdn.com/artworks-hJ9B1JNH10WJ-0-large.jpg,https://soundcloud.com/jon-bon-jovi-official/blaze-of-glory-from-young-guns
257079694,soundcloud:tracks:257079694,I'd Do Anything For Love (But I Won't Do That),Pop,https://i1.sndcdn.com/artworks-zowEHugZkqci-0-large.jpg,https://soundcloud.com/meatloafofficial/id-do-anything-for-love-but-3
253595647,soundcloud:tracks:253595647,Wannabe,Pop,https://i1.sndcdn.com/artworks-TkVA2JyEcdh1-0-large.jpg,https://soundcloud.com/spice-girls-official/wannabe-radio-edit
275578902,soundcloud:tracks:275578902,All I Wanna Do Is Make Love To You,Rock,https://i1.sndcdn.com/artworks-4FkbDITQLnf4-0-large.jpg,https://soundcloud.com/heartofficial/all-i-wanna-do-is-make-love
256067710,soundcloud:tracks:256067710,Everlong,Rock,https://i1.sndcdn.com/artworks-RQjHDKcsCnXi-0-large.jpg,https://soundcloud.com/foofighters/everlong-1
256240578,soundcloud:tracks:256240578,Basket Case,Alternative,https://i1.sndcdn.com/artworks-vzLIlA7A8v4W-0-large.jpg,https://soundcloud.com/greenday/basket-case
255881992,soundcloud:tracks:255881992,Bailamos (From "Wild Wild West"),R & B,https://i1.sndcdn.com/artworks-gytcJsi0HUsL-0-large.jpg,https://soundcloud.com/enriqueiglesias/bailamos
253506977,soundcloud:tracks:253506977,Cotton Eye Joe,Country,https://i1.sndcdn.com/artworks-PwyQyz6sxtin-0-large.jpg,https://soundcloud.com/rednex-se/cotton-eye-joe-1
252909699,soundcloud:tracks:252909699,Bed Of Roses,Pop,https://i1.sndcdn.com/artworks-Sr1UFs2UEwuD-0-large.jpg,https://soundcloud.com/bonjovi/bed-of-roses-album-version
252633387,soundcloud:tracks:252633387,Candy Rain,R & B,https://i1.sndcdn.com/artworks-BTWuv8sH1LkZ-0-large.jpg,https://soundcloud.com/soul-for-real-official/candy-rain-album-version
253180654,soundcloud:tracks:253180654,Dreams,Pop,https://i1.sndcdn.com/artworks-UBLvdSB7oOu9-0-large.jpg,https://soundcloud.com/the-cranberries/dreams
256126172,soundcloud:tracks:256126172,Return of the Mack,Pop,https://i1.sndcdn.com/artworks-tm6tqhWlhecO-0-large.jpg,https://soundcloud.com/markmorrisonmusic/return-of-the-mack-c-j-street
253081607,soundcloud:tracks:253081607,Fade Into You,Pop,https://i1.sndcdn.com/artworks-bUwJ5jy33lVM-0-large.jpg,https://soundcloud.com/mazzy-star-official/fade-into-you
263297161,soundcloud:tracks:263297161,Lovefool,Pop,https://i1.sndcdn.com/artworks-0GPSxHxfonFc-0-large.jpg,https://soundcloud.com/thecardigans/lovefool-radio-edit
253516623,soundcloud:tracks:253516623,Another Night,Pop,https://i1.sndcdn.com/artworks-tChigUny2nrv-0-large.jpg,https://soundcloud.com/real-mccoy-official/another-night
285479062,soundcloud:tracks:285479062,Runaway Train (2022 Remaster),Classic Rock,https://i1.sndcdn.com/artworks-iP5HeMnztbfa-0-large.jpg,https://soundcloud.com/soulasylumofficial/runaway-train-2
253481507,soundcloud:tracks:253481507,No Diggity (feat. Dr. Dre & Queen Pen),R & B,https://i1.sndcdn.com/artworks-H67XTtmMNJGi-0-large.jpg,https://soundcloud.com/blackstreet-official/no-diggity-album-version
256124400,soundcloud:tracks:256124400,Song 2 (2012 Remaster),Rock,https://i1.sndcdn.com/artworks-t7VeA1Pd70b6-0-large.jpg,https://soundcloud.com/blurofficial/song-2-2012-remastered-version
